label_pair,layer,acc,f1,delta,n
baseline_vs_relaxed,41,0.9938,0.9964,0.1188,960
baseline_vs_relaxed,42,0.976,0.9864,0.101,960
baseline_vs_relaxed,43,0.9781,0.9876,0.1031,960
baseline_vs_relaxed,44,0.9906,0.9947,0.1156,960
baseline_vs_relaxed,45,0.9781,0.9876,0.1031,960
baseline_vs_relaxed,46,0.9896,0.994,0.1146,960
baseline_vs_relaxed,47,0.9865,0.9923,0.1115,960
baseline_vs_relaxed,48,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,49,0.9802,0.9888,0.1052,960
baseline_vs_relaxed,50,0.9594,0.9768,0.0844,960
baseline_vs_relaxed,51,0.975,0.9858,0.1,960
baseline_vs_relaxed,52,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,53,0.9677,0.9816,0.0927,960
baseline_vs_relaxed,54,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,55,0.9802,0.9888,0.1052,960
baseline_vs_relaxed,56,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,57,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,58,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,59,0.9885,0.9935,0.1135,960
baseline_vs_relaxed,60,0.974,0.9853,0.099,960
baseline_vs_relaxed,61,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,62,0.9875,0.9929,0.1125,960
baseline_vs_relaxed,63,0.9656,0.9804,0.0906,960
baseline_vs_relaxed,64,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,65,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,66,0.9781,0.9876,0.1031,960
baseline_vs_relaxed,67,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,68,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,69,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,70,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,71,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,72,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,73,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,74,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,75,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,76,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,77,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,78,0.9792,0.9882,0.1042,960
baseline_vs_relaxed,79,0.9792,0.9882,0.1042,960
